"Seccion","Madera","Modernista","Noble","Tradicional"
"S01014","57",NULL,NULL,NULL
"S01303",NULL,"47",NULL,NULL
"S01306",NULL,"49",NULL,NULL
"S01722",NULL,"84",NULL,NULL
"S01810","59",NULL,NULL,NULL
"S02309","46",NULL,NULL,NULL
"S02405",NULL,NULL,NULL,"80"
"S02907",NULL,"43",NULL,NULL
"S03706",NULL,"40",NULL,NULL
"S03737",NULL,NULL,NULL,"65"
"S04089","56",NULL,NULL,NULL
"S04903",NULL,NULL,NULL,"50"
"S05015",NULL,"37",NULL,NULL
"S05504",NULL,NULL,NULL,"63"
"S06805","53",NULL,NULL,NULL
"S07028",NULL,NULL,NULL,"54"
"S07209",NULL,"85",NULL,NULL
"S07504",NULL,NULL,NULL,"50"
"S08516",NULL,NULL,"60",NULL
