"Año","Centro","Este","Noreste","Noroeste","Norte","Oeste","Sur","Sureste","suroeste"
"1905",NULL,NULL,NULL,"4",NULL,NULL,NULL,NULL,NULL
"1906",NULL,NULL,NULL,NULL,"2",NULL,NULL,NULL,NULL
"1910",NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,NULL
"1925",NULL,"2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1927","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1930",NULL,NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"1933",NULL,NULL,NULL,NULL,"2",NULL,NULL,NULL,NULL
"1935",NULL,NULL,NULL,"4",NULL,NULL,NULL,NULL,NULL
"1936",NULL,NULL,NULL,"3","2",NULL,NULL,NULL,NULL
"1940",NULL,NULL,NULL,"2",NULL,"3","1",NULL,NULL
"1943",NULL,NULL,NULL,NULL,"4",NULL,NULL,NULL,NULL
"1946",NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL,NULL
"1949",NULL,NULL,NULL,NULL,NULL,"2",NULL,NULL,NULL
"1952",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3",NULL
"1955",NULL,"2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1956",NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL,NULL
"1957","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1959",NULL,NULL,NULL,NULL,NULL,NULL,"2",NULL,NULL
"1960",NULL,NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"1962",NULL,NULL,NULL,NULL,NULL,NULL,"3",NULL,NULL
"1963",NULL,NULL,NULL,NULL,"2",NULL,NULL,NULL,NULL
"1965",NULL,"2",NULL,"4",NULL,NULL,NULL,NULL,NULL
"1966",NULL,NULL,NULL,"3","2",NULL,NULL,NULL,NULL
"1968","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1970",NULL,NULL,NULL,"2",NULL,"3","1",NULL,NULL
"1973",NULL,NULL,NULL,NULL,"4",NULL,NULL,NULL,NULL
"1976",NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL,NULL
"1979",NULL,NULL,NULL,NULL,NULL,"2",NULL,NULL,NULL
"1982",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3",NULL
"1985",NULL,"2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1986",NULL,NULL,NULL,NULL,"1",NULL,NULL,NULL,NULL
"1987","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1989",NULL,NULL,NULL,NULL,NULL,NULL,"2",NULL,NULL
"1990",NULL,NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"1992",NULL,NULL,NULL,NULL,NULL,NULL,"3",NULL,NULL
"1993",NULL,NULL,NULL,NULL,"2",NULL,NULL,NULL,NULL
"1995",NULL,"2",NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1996",NULL,NULL,NULL,"3",NULL,NULL,NULL,NULL,NULL
"1998","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2000",NULL,NULL,NULL,"2",NULL,"3",NULL,NULL,NULL
"2003",NULL,NULL,NULL,NULL,"4",NULL,NULL,NULL,NULL
